Country,Year,Sex,Age,Population
Italy,2019,Male,0,244403
Italy,2019,Male,1,244403
Italy,2019,Male,2,244403
Italy,2019,Male,3,244403
Italy,2019,Male,4,244403
Italy,2019,Female,0,230116
Italy,2019,Female,1,230116
Italy,2019,Female,2,230116
Italy,2019,Female,3,230116
Italy,2019,Female,4,230116
Italy,2019,Male,5,278911
Italy,2019,Male,6,278911
Italy,2019,Male,7,278911
Italy,2019,Male,8,278911
Italy,2019,Male,9,278911
Italy,2019,Female,5,263024
Italy,2019,Female,6,263024
Italy,2019,Female,7,263024
Italy,2019,Female,8,263024
Italy,2019,Female,9,263024
Italy,2019,Male,10,294078
Italy,2019,Male,11,294078
Italy,2019,Male,12,294078
Italy,2019,Male,13,294078
Italy,2019,Male,14,294078
Italy,2019,Female,10,277289
Italy,2019,Female,11,277289
Italy,2019,Female,12,277289
Italy,2019,Female,13,277289
Italy,2019,Female,14,277289
Italy,2019,Male,15,295651
Italy,2019,Male,16,295651
Italy,2019,Male,17,295651
Italy,2019,Male,18,295651
Italy,2019,Male,19,295651
Italy,2019,Female,15,276255
Italy,2019,Female,16,276255
Italy,2019,Female,17,276255
Italy,2019,Female,18,276255
Italy,2019,Female,19,276255
Italy,2019,Male,20,305374
Italy,2019,Male,21,305374
Italy,2019,Male,22,305374
Italy,2019,Male,23,305374
Italy,2019,Male,24,305374
Italy,2019,Female,20,283222
Italy,2019,Female,21,283222
Italy,2019,Female,22,283222
Italy,2019,Female,23,283222
Italy,2019,Female,24,283222
Italy,2019,Male,25,324785
Italy,2019,Male,26,324785
Italy,2019,Male,27,324785
Italy,2019,Male,28,324785
Italy,2019,Male,29,324785
Italy,2019,Female,25,308541
Italy,2019,Female,26,308541
Italy,2019,Female,27,308541
Italy,2019,Female,28,308541
Italy,2019,Female,29,308541
Italy,2019,Male,30,340910
Italy,2019,Male,31,340910
Italy,2019,Male,32,340910
Italy,2019,Male,33,340910
Italy,2019,Male,34,340910
Italy,2019,Female,30,334242
Italy,2019,Female,31,334242
Italy,2019,Female,32,334242
Italy,2019,Female,33,334242
Italy,2019,Female,34,334242
Italy,2019,Male,35,370693
Italy,2019,Male,36,370693
Italy,2019,Male,37,370693
Italy,2019,Male,38,370693
Italy,2019,Male,39,370693
Italy,2019,Female,35,368376
Italy,2019,Female,36,368376
Italy,2019,Female,37,368376
Italy,2019,Female,38,368376
Italy,2019,Female,39,368376
Italy,2019,Male,40,429742
Italy,2019,Male,41,429742
Italy,2019,Male,42,429742
Italy,2019,Male,43,429742
Italy,2019,Male,44,429742
Italy,2019,Female,40,431511
Italy,2019,Female,41,431511
Italy,2019,Female,42,431511
Italy,2019,Female,43,431511
Italy,2019,Female,44,431511
